Row ID,Order ID,Order Date,Ship Date,Customer ID,Product ID,Segment,Ship Mode,Discount,Postal Code,Profit,Quantity,Sales
76,ORD00076,04-12-2021,10-12-2021,CUST0787,PROD636,Corporate,Second Class,0.2,530001,312.93,9,483.09
77,ORD00077,14-02-2021,20-02-2021,CUST0086,PROD169,Corporate,Standard Class,0.45,500001,26.82,1,20.31
78,ORD00078,01-12-2021,07-12-2021,CUST0385,PROD791,Corporate,Standard Class,0.06,411001,478.65,6,1374.33
79,ORD00079,27-05-2024,29-05-2024,CUST0104,PROD231,Consumer,Same Day,0.13,226001,-47.76,7,1349.78
80,ORD00080,18-11-2023,20-11-2023,CUST0780,PROD226,Corporate,Second Class,0.23,411001,350.75,3,482.38
81,ORD00081,21-02-2024,23-02-2024,CUST0310,PROD391,Home Office,Standard Class,0.2,781001,18.08,4,728.4
82,ORD00082,07-12-2023,12-12-2023,CUST0649,PROD955,Consumer,Second Class,0.33,302001,-32.67,4,1465.85
83,ORD00083,27-12-2021,03-01-2022,CUST0019,PROD192,Corporate,Standard Class,0.13,781001,72.18,1,252.32
84,ORD00084,09-11-2024,11-11-2024,CUST0497,PROD707,Corporate,First Class,0.42,600001,343.98,2,301.73
85,ORD00085,13-12-2023,15-12-2023,CUST0746,PROD132,Consumer,First Class,0.36,380001,48.6,9,1885.1
86,ORD00086,09-07-2021,16-07-2021,CUST0587,PROD237,Home Office,First Class,0.24,462001,-27.52,2,395.61
87,ORD00087,02-09-2024,06-09-2024,CUST0047,PROD771,Home Office,First Class,0.12,380001,201.02,6,2989.32
88,ORD00088,13-02-2024,16-02-2024,CUST0780,PROD242,Consumer,First Class,0.31,380001,301.52,1,223.47
89,ORD00089,24-05-2024,28-05-2024,CUST0312,PROD960,Home Office,First Class,0.39,400001,131.38,8,3411.82
90,ORD00090,23-02-2022,24-02-2022,CUST0014,PROD303,Home Office,First Class,0.27,226001,10.12,5,1411.56
91,ORD00091,22-05-2024,29-05-2024,CUST0164,PROD354,Home Office,Second Class,0.12,560001,371.74,7,2252.24
92,ORD00092,05-09-2024,10-09-2024,CUST0640,PROD283,Corporate,Same Day,0.24,400001,318.52,7,2904.93
93,ORD00093,02-06-2022,08-06-2022,CUST0497,PROD265,Home Office,First Class,0.35,462001,244.33,2,199.1
94,ORD00094,08-01-2024,12-01-2024,CUST0268,PROD220,Corporate,First Class,0.2,462001,112.73,2,538
95,ORD00095,06-08-2022,11-08-2022,CUST0364,PROD599,Consumer,Second Class,0.29,695001,387.32,4,1447.48
96,ORD00096,12-01-2024,15-01-2024,CUST0264,PROD800,Corporate,Second Class,0.44,695001,221.79,2,388.38
97,ORD00097,25-06-2023,29-06-2023,CUST0143,PROD895,Home Office,First Class,0,160001,441.56,1,305.89
98,ORD00098,27-12-2022,01-01-2023,CUST0619,PROD395,Consumer,Same Day,0.37,695001,50.14,7,1355.83
99,ORD00099,10-06-2024,17-06-2024,CUST0068,PROD521,Home Office,Same Day,0.39,160001,441.34,5,1511.43
100,ORD00100,12-02-2022,18-02-2022,CUST0674,PROD190,Consumer,Standard Class,0.43,600001,265.45,3,490.74
101,ORD00101,14-11-2023,20-11-2023,CUST0058,PROD491,Consumer,Same Day,0.17,380001,-28.35,1,165.55
102,ORD00102,09-02-2021,16-02-2021,CUST0643,PROD303,Corporate,Standard Class,0.43,400001,42.45,7,2596.47
103,ORD00103,05-10-2024,10-10-2024,CUST0328,PROD502,Consumer,First Class,0.29,160001,247.44,7,631.44
104,ORD00104,12-03-2023,14-03-2023,CUST0627,PROD517,Corporate,First Class,0.45,395001,434.59,6,2002.31
105,ORD00105,11-12-2023,18-12-2023,CUST0304,PROD999,Corporate,Second Class,0.06,530001,92.62,9,796.42
106,ORD00106,22-12-2021,29-12-2021,CUST0201,PROD794,Consumer,First Class,0.12,452001,199.48,6,2612.04
107,ORD00107,06-03-2023,09-03-2023,CUST0685,PROD397,Corporate,First Class,0.03,781001,91.85,9,837.41
108,ORD00108,29-12-2024,31-12-2024,CUST0133,PROD342,Consumer,First Class,0.2,500001,260.61,9,3948.36
109,ORD00109,01-08-2022,06-08-2022,CUST0715,PROD808,Consumer,Same Day,0.06,800001,384.45,9,4047.63
110,ORD00110,21-04-2023,23-04-2023,CUST0770,PROD323,Consumer,Second Class,0.35,800001,32.9,1,327.99
111,ORD00111,14-10-2022,21-10-2022,CUST0174,PROD961,Home Office,Same Day,0.43,600001,63.42,1,468.86
112,ORD00112,12-02-2024,18-02-2024,CUST0061,PROD374,Home Office,Same Day,0.33,500001,30.23,7,2040.29
113,ORD00113,10-05-2023,16-05-2023,CUST0620,PROD268,Corporate,Standard Class,0.36,751001,308.92,8,3153.55
114,ORD00114,29-11-2024,30-11-2024,CUST0702,PROD733,Corporate,First Class,0.13,411001,15.21,3,1095.63
115,ORD00115,04-02-2023,06-02-2023,CUST0321,PROD954,Consumer,Same Day,0.37,452001,113.47,2,821.17
116,ORD00116,26-07-2024,02-08-2024,CUST0795,PROD748,Corporate,Second Class,0,781001,232.47,6,469.83
117,ORD00117,11-10-2023,18-10-2023,CUST0392,PROD665,Corporate,Same Day,0.05,452001,304.7,4,1404.27
118,ORD00118,21-04-2021,24-04-2021,CUST0173,PROD786,Consumer,Standard Class,0.13,226001,410.65,3,465.33
119,ORD00119,08-01-2022,13-01-2022,CUST0528,PROD857,Consumer,First Class,0.03,110001,15.29,9,4057.28
120,ORD00120,07-06-2021,13-06-2021,CUST0778,PROD166,Consumer,First Class,0.29,395001,173.6,6,2907.76
121,ORD00121,06-06-2022,13-06-2022,CUST0394,PROD775,Consumer,First Class,0.08,380001,46.66,1,57.49
122,ORD00122,23-10-2023,24-10-2023,CUST0309,PROD238,Corporate,Same Day,0.44,411001,398.08,9,412.44
123,ORD00123,01-08-2023,03-08-2023,CUST0488,PROD903,Home Office,Standard Class,0.37,560001,69.09,1,164.95
124,ORD00124,04-11-2021,11-11-2021,CUST0542,PROD108,Consumer,Standard Class,0.39,781001,353.25,7,1933.44
125,ORD00125,19-06-2024,21-06-2024,CUST0533,PROD748,Home Office,First Class,0.08,400001,41.83,8,3014.87
126,ORD00126,10-02-2024,12-02-2024,CUST0403,PROD923,Corporate,First Class,0.22,530001,250.38,1,158.13
127,ORD00127,12-02-2022,18-02-2022,CUST0496,PROD118,Home Office,First Class,0.48,452001,264.68,4,849.84
128,ORD00128,15-03-2024,18-03-2024,CUST0255,PROD718,Home Office,Same Day,0.33,462001,419.15,6,2152.65
129,ORD00129,29-01-2022,31-01-2022,CUST0633,PROD391,Corporate,First Class,0.25,110001,-40.56,4,1487.91
130,ORD00130,26-02-2023,03-03-2023,CUST0351,PROD755,Consumer,Same Day,0.07,560001,447.63,7,2474.39
131,ORD00131,16-08-2022,22-08-2022,CUST0290,PROD368,Corporate,First Class,0.2,160001,469.32,4,1117.83
132,ORD00132,20-04-2021,27-04-2021,CUST0193,PROD335,Corporate,Same Day,0.34,530001,309.95,2,190.71
133,ORD00133,12-01-2021,14-01-2021,CUST0026,PROD393,Home Office,Second Class,0.19,700001,439.2,1,282.41
134,ORD00134,15-10-2024,17-10-2024,CUST0093,PROD757,Home Office,Second Class,0.14,400001,119.63,5,133.94
135,ORD00135,08-10-2024,09-10-2024,CUST0419,PROD118,Corporate,First Class,0.38,302001,264.05,4,1504.92
136,ORD00136,08-01-2021,14-01-2021,CUST0278,PROD962,Consumer,First Class,0.36,462001,457.38,2,665.08
137,ORD00137,07-01-2023,14-01-2023,CUST0729,PROD419,Home Office,Same Day,0.18,530001,459.62,7,3160.26
138,ORD00138,24-12-2023,29-12-2023,CUST0691,PROD350,Consumer,Standard Class,0.42,380001,-21.44,4,218.54
139,ORD00139,11-12-2024,12-12-2024,CUST0706,PROD654,Home Office,Same Day,0.33,411001,406.73,7,1458.43
140,ORD00140,16-06-2023,17-06-2023,CUST0269,PROD534,Consumer,Same Day,0.03,395001,40.13,9,1496.66
141,ORD00141,01-09-2024,06-09-2024,CUST0047,PROD695,Consumer,Second Class,0.33,600001,338.85,8,471.44
142,ORD00142,13-08-2022,14-08-2022,CUST0119,PROD618,Consumer,Standard Class,0.01,462001,184.78,6,2887.64
143,ORD00143,14-01-2021,15-01-2021,CUST0206,PROD758,Corporate,First Class,0.1,380001,275.67,2,227.84
144,ORD00144,13-03-2021,14-03-2021,CUST0079,PROD704,Home Office,Same Day,0.31,462001,9.62,7,739.89
145,ORD00145,19-11-2024,21-11-2024,CUST0535,PROD385,Corporate,Same Day,0.15,452001,-19.61,6,98.88
146,ORD00146,07-05-2022,11-05-2022,CUST0240,PROD324,Home Office,Same Day,0.45,695001,219.11,7,2702.68
147,ORD00147,28-01-2021,29-01-2021,CUST0428,PROD200,Home Office,First Class,0.47,411001,144.67,6,2397.59
148,ORD00148,28-12-2021,29-12-2021,CUST0010,PROD858,Corporate,First Class,0.31,302001,329.16,9,4336.7
149,ORD00149,24-01-2022,27-01-2022,CUST0560,PROD999,Consumer,Same Day,0.43,440001,339.58,2,802.53
150,ORD00150,22-12-2023,29-12-2023,CUST0519,PROD302,Consumer,First Class,0.27,695001,-2.27,5,2126.82
151,ORD00151,04-04-2022,11-04-2022,CUST0067,PROD526,Home Office,Same Day,0.06,500001,478.01,4,1592.38
152,ORD00152,21-10-2021,24-10-2021,CUST0524,PROD238,Consumer,Standard Class,0.46,440001,280.62,3,671.73
153,ORD00153,27-02-2024,02-03-2024,CUST0140,PROD403,Consumer,Same Day,0.15,226001,431.74,8,3614.66
154,ORD00154,20-11-2022,26-11-2022,CUST0614,PROD786,Consumer,Same Day,0.27,380001,63.16,3,217.2
155,ORD00155,23-10-2024,30-10-2024,CUST0585,PROD271,Corporate,Same Day,0.39,700001,369.05,4,1773.84
156,ORD00156,16-08-2022,21-08-2022,CUST0481,PROD963,Consumer,Standard Class,0.12,700001,147.45,2,865.7
157,ORD00157,15-04-2024,16-04-2024,CUST0606,PROD706,Consumer,Standard Class,0.27,695001,188.38,7,521.04
158,ORD00158,12-12-2023,17-12-2023,CUST0097,PROD497,Corporate,First Class,0.04,560001,326.53,4,314.07
159,ORD00159,02-10-2022,09-10-2022,CUST0307,PROD169,Corporate,Second Class,0.03,302001,381.91,3,1429.54
160,ORD00160,25-10-2024,29-10-2024,CUST0365,PROD602,Consumer,Same Day,0.26,462001,416.62,6,2905.77
161,ORD00161,22-02-2021,01-03-2021,CUST0370,PROD913,Home Office,Standard Class,0.48,160001,265.05,7,2202.56
162,ORD00162,18-06-2023,19-06-2023,CUST0379,PROD813,Corporate,Standard Class,0.29,500001,367.29,2,155.04
163,ORD00163,24-01-2021,29-01-2021,CUST0229,PROD230,Corporate,Second Class,0.04,160001,150.86,1,444.09
164,ORD00164,10-08-2022,16-08-2022,CUST0216,PROD548,Consumer,Second Class,0.03,600001,109.56,2,611.63
165,ORD00165,20-08-2023,21-08-2023,CUST0400,PROD153,Consumer,Standard Class,0.38,302001,25.73,1,274.13
166,ORD00166,01-07-2022,08-07-2022,CUST0504,PROD744,Home Office,Same Day,0.07,302001,264.54,5,62.74
167,ORD00167,19-09-2022,22-09-2022,CUST0188,PROD138,Corporate,Second Class,0.49,411001,296.41,2,681.67
168,ORD00168,06-04-2024,07-04-2024,CUST0371,PROD869,Corporate,Standard Class,0.27,452001,50.16,7,1000.22
169,ORD00169,17-07-2021,24-07-2021,CUST0758,PROD397,Consumer,First Class,0.03,110001,2.54,6,368.82
170,ORD00170,04-11-2023,06-11-2023,CUST0167,PROD934,Consumer,Second Class,0.41,560001,182.09,8,1221.05
171,ORD00171,07-06-2023,13-06-2023,CUST0615,PROD223,Consumer,Second Class,0.33,395001,495.69,3,376.59
172,ORD00172,23-01-2022,24-01-2022,CUST0734,PROD330,Corporate,Standard Class,0.26,462001,134.8,7,296.53
173,ORD00173,18-03-2023,24-03-2023,CUST0445,PROD672,Home Office,First Class,0.03,462001,310.45,7,853.96
174,ORD00174,18-09-2023,19-09-2023,CUST0294,PROD756,Corporate,Same Day,0.23,395001,445.07,9,350.09
175,ORD00175,19-09-2021,21-09-2021,CUST0760,PROD723,Home Office,Standard Class,0.15,302001,-18.62,6,489.1
176,ORD00176,20-09-2024,22-09-2024,CUST0765,PROD257,Consumer,Standard Class,0.44,781001,228.79,4,1406.39
177,ORD00177,27-03-2024,02-04-2024,CUST0114,PROD976,Home Office,Same Day,0.2,226001,472.34,1,310.96
178,ORD00178,29-07-2024,04-08-2024,CUST0429,PROD800,Home Office,Standard Class,0.27,452001,191.95,4,535.57
179,ORD00179,02-01-2022,06-01-2022,CUST0478,PROD129,Consumer,Same Day,0.13,700001,414.98,9,2889.42
180,ORD00180,10-12-2023,12-12-2023,CUST0162,PROD433,Corporate,First Class,0.14,400001,133.16,8,478.81
181,ORD00181,14-08-2022,16-08-2022,CUST0618,PROD393,Consumer,Same Day,0.1,226001,343.15,2,861.75
182,ORD00182,08-09-2022,15-09-2022,CUST0280,PROD812,Home Office,Second Class,0.03,400001,-24.88,8,103.5
183,ORD00183,12-12-2024,15-12-2024,CUST0387,PROD483,Consumer,Same Day,0.07,500001,-16.27,9,3222.46
184,ORD00184,18-08-2024,20-08-2024,CUST0141,PROD488,Consumer,Same Day,0.09,600001,-8.34,2,417.27
185,ORD00185,21-08-2022,25-08-2022,CUST0430,PROD476,Corporate,Second Class,0.2,462001,290.2,4,1516.89
186,ORD00186,15-09-2022,22-09-2022,CUST0461,PROD815,Corporate,Standard Class,0.48,530001,209.48,9,499.83
187,ORD00187,25-06-2022,27-06-2022,CUST0576,PROD864,Consumer,First Class,0,395001,429.35,4,900.45
188,ORD00188,27-04-2021,02-05-2021,CUST0341,PROD423,Corporate,Second Class,0.13,380001,302.49,3,103.84
189,ORD00189,21-05-2021,23-05-2021,CUST0548,PROD790,Consumer,Same Day,0.38,226001,435.8,5,1821.47
190,ORD00190,16-08-2022,19-08-2022,CUST0259,PROD100,Consumer,Standard Class,0.41,781001,225.95,4,1522.06
191,ORD00191,07-09-2023,09-09-2023,CUST0368,PROD180,Consumer,First Class,0.43,700001,112.43,3,732.27
192,ORD00192,02-01-2023,07-01-2023,CUST0552,PROD585,Home Office,Standard Class,0.33,530001,17.28,2,992.32
193,ORD00193,14-07-2024,18-07-2024,CUST0184,PROD211,Corporate,First Class,0.11,560001,-4.88,3,1255.77
194,ORD00194,11-11-2023,12-11-2023,CUST0194,PROD631,Home Office,Standard Class,0.1,462001,-6.84,5,2185.6
195,ORD00195,11-10-2022,15-10-2022,CUST0728,PROD748,Corporate,First Class,0.42,452001,118.73,7,2103.44
196,ORD00196,18-07-2022,24-07-2022,CUST0068,PROD337,Home Office,Same Day,0.35,530001,398.74,7,1476.72
197,ORD00197,27-06-2024,28-06-2024,CUST0400,PROD949,Consumer,Second Class,0.15,781001,90.93,3,1365.9
198,ORD00198,06-01-2024,10-01-2024,CUST0072,PROD244,Home Office,First Class,0.09,462001,462.38,8,1852.13
199,ORD00199,10-11-2021,17-11-2021,CUST0109,PROD554,Home Office,Standard Class,0.19,500001,430.6,5,1870.81
200,ORD00200,17-03-2023,22-03-2023,CUST0237,PROD137,Home Office,Second Class,0.43,160001,73.44,6,1440.9
201,ORD00201,26-11-2022,30-11-2022,CUST0283,PROD758,Corporate,Standard Class,0.06,530001,275.21,1,397.32
202,ORD00202,27-10-2022,31-10-2022,CUST0353,PROD563,Corporate,First Class,0.39,462001,376.62,7,1681.03
203,ORD00203,21-02-2024,24-02-2024,CUST0305,PROD462,Consumer,Same Day,0.27,530001,246.28,3,1400.6
204,ORD00204,06-12-2022,11-12-2022,CUST0578,PROD852,Home Office,Same Day,0.14,781001,57.78,4,788.02
205,ORD00205,28-08-2022,03-09-2022,CUST0781,PROD991,Consumer,Standard Class,0.08,700001,36.66,9,2123.96
206,ORD00206,09-10-2022,15-10-2022,CUST0072,PROD188,Home Office,First Class,0.12,452001,366.98,4,746.5
207,ORD00207,13-05-2023,20-05-2023,CUST0634,PROD704,Corporate,First Class,0.13,440001,101.75,3,614.94
208,ORD00208,29-06-2023,01-07-2023,CUST0500,PROD599,Corporate,Same Day,0.27,751001,101.65,8,1619.14
209,ORD00209,16-05-2021,22-05-2021,CUST0161,PROD851,Consumer,Standard Class,0.02,462001,459.78,4,1990.68
210,ORD00210,05-11-2024,10-11-2024,CUST0505,PROD869,Corporate,Same Day,0.36,560001,249.38,2,797.25
211,ORD00211,23-09-2023,26-09-2023,CUST0271,PROD561,Home Office,Same Day,0.28,380001,147.39,3,154.87
212,ORD00212,24-09-2024,01-10-2024,CUST0426,PROD940,Corporate,Same Day,0.47,302001,243.26,5,863.63
213,ORD00213,20-05-2024,23-05-2024,CUST0018,PROD275,Corporate,Standard Class,0.25,751001,377.56,1,129.59
214,ORD00214,12-11-2022,13-11-2022,CUST0415,PROD545,Corporate,Same Day,0.08,462001,162,7,503.53
215,ORD00215,03-10-2022,08-10-2022,CUST0072,PROD968,Consumer,Second Class,0.31,440001,35.78,7,2409.11
216,ORD00216,25-03-2022,01-04-2022,CUST0198,PROD739,Home Office,Same Day,0.34,700001,318.13,4,1409.68
217,ORD00217,04-09-2024,09-09-2024,CUST0515,PROD236,Corporate,Second Class,0.06,560001,130.25,9,2680.56
218,ORD00218,30-11-2024,03-12-2024,CUST0021,PROD950,Home Office,Second Class,0.17,160001,376.23,9,434.56
219,ORD00219,16-02-2024,23-02-2024,CUST0284,PROD723,Home Office,Standard Class,0.14,560001,-22.45,7,1966.14
220,ORD00220,02-07-2023,08-07-2023,CUST0111,PROD854,Home Office,Standard Class,0.35,695001,83.73,7,674.45
221,ORD00221,27-02-2021,05-03-2021,CUST0474,PROD916,Consumer,Second Class,0.18,380001,389.19,5,270.03
222,ORD00222,16-12-2023,18-12-2023,CUST0547,PROD577,Home Office,First Class,0.16,452001,440.49,9,229.07
223,ORD00223,07-10-2021,14-10-2021,CUST0716,PROD602,Home Office,Same Day,0.29,110001,104.27,2,322.22
224,ORD00224,14-06-2022,18-06-2022,CUST0173,PROD621,Home Office,Standard Class,0.15,160001,79.23,9,351.01
225,ORD00225,03-05-2023,05-05-2023,CUST0471,PROD228,Corporate,First Class,0.14,395001,356.89,1,232.71
226,ORD00226,03-12-2022,05-12-2022,CUST0758,PROD177,Corporate,Second Class,0.12,395001,-35.49,5,2264.16
227,ORD00227,04-02-2023,07-02-2023,CUST0493,PROD338,Corporate,Same Day,0.5,302001,205.54,6,281.06
228,ORD00228,07-01-2023,10-01-2023,CUST0354,PROD961,Corporate,First Class,0.08,700001,255.73,2,719.89
229,ORD00229,13-10-2024,20-10-2024,CUST0439,PROD210,Corporate,First Class,0.01,160001,315.68,4,1359.23
